287	688	255	10624dd	0	0	0	0	0	0	0	
288	69	255	10624dd	ffff5bf5	0	0	0	0	0	0	
289	1361	0	ff258bf2	ffff5915	ffc46bfc	ffffd27a	0	0	0	0	
290	1361	0	fbae2f5e	a6eb	fed26a02	2d86	0	0	0	0	
291	61	213	0	0	da740e	1afc4	0	0	0	0	
292	4493	255	0	0	140eac2	0	0	0	0	0	
293	61	255	0	0	3453ad	fffe503c	0	0	0	0	
294	878	0	0	0	ff258bf2	ffff4359	0	0	0	0	
295	400	0	0	0	fc9f2066	a297	0	0	0	0	
296	753	255	c3edca	0	ff51d74c	0	0	0	0	0	
297	560	255	ea77fe	0	ff8ac401	0	0	0	0	0	
298	813	255	10624dd	0	0	0	0	0	0	0	
299	616	255	ef8cdb	0	6a777e	0	0	0	0	0	
300	708	255	b95d22	0	b95d22	0	0	0	0	0	
301	851	255	4d17c4	0	fa8d3e	0	0	0	0	0	
302	500	255	0	0	10624dd	0	0	0	0	0	
303	851	255	ffb2e83c	0	fa8d3e	0	0	0	0	0	
304	753	255	ff51d74c	0	c3edca	0	0	0	0	0	
305	616	255	ff107325	0	6a777e	0	0	0	0	0	
306	813	255	fef9db23	0	0	0	0	0	0	0	
307	560	255	ff158802	0	ff8ac401	0	0	0	0	0	
308	796	255	ff46a2de	0	ff46a2de	0	0	0	0	0	
309	184	0	fd91bac3	fffe014d	fde458cd	fffea7b0	0	0	0	0	
310	509	0	fc244d84	15986	fd34c560	102d6	0	0	0	0	
311	3125	255	fef9db23	0	0	0	0	0	0	0	
312	69	255	fef9db23	a40b	0	0	0	0	0	0	
313	61	213	0	0	ff258bf2	fffe503c	0	0	0	0	
314	358	255	0	0	febf153e	0	0	0	0	0	
315	616	255	6a777e	0	ff107325	0	0	0	0	0	
316	354	255	b95d22	0	ff46a2de	0	0	0	0	0	
317	616	255	ef8cdb	0	ff958882	0	0	0	0	0	
318	813	255	10624dd	0	0	0	0	0	0	0	
319	560	255	ea77fe	0	753bff	0	0	0	0	0	
320	753	255	c3edca	0	ae28b4	0	0	0	0	0	
321	851	255	4d17c4	0	fa8d3e	0	0	0	0	0	
322	500	255	0	0	10624dd	0	0	0	0	0	
323	851	255	ffb2e83c	0	fa8d3e	0	0	0	0	0	
324	796	255	ff46a2de	0	b95d22	0	0	0	0	0	
325	560	255	ff158802	0	753bff	0	0	0	0	0	
326	813	255	fef9db23	0	0	0	0	0	0	0	
327	616	255	ff107325	0	ff958882	0	0	0	0	0	
328	753	255	ff51d74c	0	ff3c1236	0	0	0	0	0	
329	318	0	fe6347fb	fffefb71	fd872a1a	fffe739c	0	0	0	0	
330	708	0	fd230e9d	d48b	fb9c2779	14766	0	0	0	0	
331	61	213	0	0	da740e	1afc4	0	0	0	0	
332	2962	255	0	0	140eac2	0	0	0	0	0	
333	61	255	0	0	3453ad	fffe503c	0	0	0	0	
334	765	0	0	0	ff258bf2	ffff3a1b	0	0	0	0	
335	219	0	0	0	fcd646b4	8f03	0	0	0	0	
336	851	255	ffb2e83c	0	ff0572c2	0	0	0	0	0	
337	708	255	ff46a2de	0	ff46a2de	0	0	0	0	0	
338	616	255	ff107325	0	ff958882	0	0	0	0	0	
339	750	255	fef9db23	0	0	0	0	0	0	0	
340	69	255	fef9db23	a40b	0	0	0	0	0	0	
341	3415	0	da740e	8a7f	852703	5148	0	0	0	0	
342	1063	0	811a4d5	0	4cd1b04	0	0	0	0	0	
343	3415	0	8167108	ffff7581	4bdb14b	ffffaeb8	0	0	0	0	
344	5500	255	0	0	10624dd	0	0	0	0	0	
345	69	255	0	0	10624dd	ffff5bf5	0	0	0	0	
346	1078	0	ff258bf2	ffff4df5	0	0	0	0	0	0	
347	498	0	fc384436	94a2	0	0	0	0	0	0	
348	813	255	ff0e055b	0	ff9b2ce6	0	0	0	0	0	
349	753	255	ff3c1236	0	ff51d74c	0	0	0	0	0	
350	616	255	ff958882	0	ff107325	0	0	0	0	0	
351	791	255	ffad1a50	0	ff074ef1	0	0	0	0	0	
352	1313	255	0	0	fef9db23	0	0	0	0	0	
353	851	255	4d17c4	0	ff0572c2	0	0	0	0	0	
354	616	255	6a777e	0	ff107325	0	0	0	0	0	
355	753	255	c3edca	0	ff51d74c	0	0	0	0	0	
356	791	255	f8b10f	0	ffad1a50	0	0	0	0	0	
357	1813	255	10624dd	0	0	0	0	0	0	0	
